text|en-US-AlloyTurboMultilingualNeural|en-US-AndrewMultilingualNeural|en-US-AvaMultilingualNeural|en-US-BrandonMultilingualNeural|en-US-BrianMultilingualNeural|en-US-ChristopherMultilingualNeural|en-US-CoraMultilingualNeural|en-US-DavisMultilingualNeural|label
Hey Nisha, are you free right now?|011_Hey_Nisha_are_you_free_right_now.wav |011_Hey_Nisha_are_you_free_right_now.wav |011_Hey_Nisha_are_you_free_right_now.wav |011_Hey_Nisha_are_you_free_right_now.wav |011_Hey_Nisha_are_you_free_right_now.wav |011_Hey_Nisha_are_you_free_right_now.wav |011_Hey_Nisha_are_you_free_right_now.wav |011_Hey_Nisha_are_you_free_right_now.wav |1
Nisha, do you want to grab some food?|012_Nisha_do_you_want_to_grab_some_food.wav |012_Nisha_do_you_want_to_grab_some_food.wav |012_Nisha_do_you_want_to_grab_some_food.wav |012_Nisha_do_you_want_to_grab_some_food.wav |012_Nisha_do_you_want_to_grab_some_food.wav |012_Nisha_do_you_want_to_grab_some_food.wav |012_Nisha_do_you_want_to_grab_some_food.wav |012_Nisha_do_you_want_to_grab_some_food.wav |1
I was just talking to Nisha yesterday.|013_I_was_just_talking_to_Nisha_yesterday.wav |013_I_was_just_talking_to_Nisha_yesterday.wav |013_I_was_just_talking_to_Nisha_yesterday.wav |013_I_was_just_talking_to_Nisha_yesterday.wav |013_I_was_just_talking_to_Nisha_yesterday.wav |013_I_was_just_talking_to_Nisha_yesterday.wav |013_I_was_just_talking_to_Nisha_yesterday.wav |013_I_was_just_talking_to_Nisha_yesterday.wav |1
By the way, Nisha, did you see that?|014_By_the_way_Nisha_did_you_see_that.wav |014_By_the_way_Nisha_did_you_see_that.wav |014_By_the_way_Nisha_did_you_see_that.wav |014_By_the_way_Nisha_did_you_see_that.wav |014_By_the_way_Nisha_did_you_see_that.wav |014_By_the_way_Nisha_did_you_see_that.wav |014_By_the_way_Nisha_did_you_see_that.wav |014_By_the_way_Nisha_did_you_see_that.wav |1
So Nisha, what do you think about this?|015_So_Nisha_what_do_you_think_about_this.wav |015_So_Nisha_what_do_you_think_about_this.wav |015_So_Nisha_what_do_you_think_about_this.wav |015_So_Nisha_what_do_you_think_about_this.wav |015_So_Nisha_what_do_you_think_about_this.wav |015_So_Nisha_what_do_you_think_about_this.wav |015_So_Nisha_what_do_you_think_about_this.wav |015_So_Nisha_what_do_you_think_about_this.wav |1
Nisha, are you coming with us?|016_Nisha_are_you_coming_with_us.wav |016_Nisha_are_you_coming_with_us.wav |016_Nisha_are_you_coming_with_us.wav |016_Nisha_are_you_coming_with_us.wav |016_Nisha_are_you_coming_with_us.wav |016_Nisha_are_you_coming_with_us.wav |016_Nisha_are_you_coming_with_us.wav |016_Nisha_are_you_coming_with_us.wav |1
Do you remember that, Nisha?|017_Do_you_remember_that_Nisha.wav |017_Do_you_remember_that_Nisha.wav |017_Do_you_remember_that_Nisha.wav |017_Do_you_remember_that_Nisha.wav |017_Do_you_remember_that_Nisha.wav |017_Do_you_remember_that_Nisha.wav |017_Do_you_remember_that_Nisha.wav |017_Do_you_remember_that_Nisha.wav |1
Nisha, I missed you!|018_Nisha_I_missed_you.wav |018_Nisha_I_missed_you.wav |018_Nisha_I_missed_you.wav |018_Nisha_I_missed_you.wav |018_Nisha_I_missed_you.wav |018_Nisha_I_missed_you.wav |018_Nisha_I_missed_you.wav |018_Nisha_I_missed_you.wav |1
Can we talk later, Nisha?|019_Can_we_talk_later_Nisha.wav |019_Can_we_talk_later_Nisha.wav |019_Can_we_talk_later_Nisha.wav |019_Can_we_talk_later_Nisha.wav |019_Can_we_talk_later_Nisha.wav |019_Can_we_talk_later_Nisha.wav |019_Can_we_talk_later_Nisha.wav |019_Can_we_talk_later_Nisha.wav |1
Hey Nisha, guess what happened today?|020_Hey_Nisha_guess_what_happened_today.wav |020_Hey_Nisha_guess_what_happened_today.wav |020_Hey_Nisha_guess_what_happened_today.wav |020_Hey_Nisha_guess_what_happened_today.wav |020_Hey_Nisha_guess_what_happened_today.wav |020_Hey_Nisha_guess_what_happened_today.wav |020_Hey_Nisha_guess_what_happened_today.wav |020_Hey_Nisha_guess_what_happened_today.wav |1
Nisha, can you tell me the time?|021_Nisha_can_you_tell_me_the_time.wav |021_Nisha_can_you_tell_me_the_time.wav |021_Nisha_can_you_tell_me_the_time.wav |021_Nisha_can_you_tell_me_the_time.wav |021_Nisha_can_you_tell_me_the_time.wav |021_Nisha_can_you_tell_me_the_time.wav |021_Nisha_can_you_tell_me_the_time.wav |021_Nisha_can_you_tell_me_the_time.wav |1
What do you think, Nisha?|022_What_do_you_think_Nisha.wav |022_What_do_you_think_Nisha.wav |022_What_do_you_think_Nisha.wav |022_What_do_you_think_Nisha.wav |022_What_do_you_think_Nisha.wav |022_What_do_you_think_Nisha.wav |022_What_do_you_think_Nisha.wav |022_What_do_you_think_Nisha.wav |1
Are you okay, Nisha?|023_Are_you_okay_Nisha.wav |023_Are_you_okay_Nisha.wav |023_Are_you_okay_Nisha.wav |023_Are_you_okay_Nisha.wav |023_Are_you_okay_Nisha.wav |023_Are_you_okay_Nisha.wav |023_Are_you_okay_Nisha.wav |023_Are_you_okay_Nisha.wav |1
Nisha, do you know the answer?|024_Nisha_do_you_know_the_answer.wav |024_Nisha_do_you_know_the_answer.wav |024_Nisha_do_you_know_the_answer.wav |024_Nisha_do_you_know_the_answer.wav |024_Nisha_do_you_know_the_answer.wav |024_Nisha_do_you_know_the_answer.wav |024_Nisha_do_you_know_the_answer.wav |024_Nisha_do_you_know_the_answer.wav |1
Can you hear me, Nisha?|025_Can_you_hear_me_Nisha.wav |025_Can_you_hear_me_Nisha.wav |025_Can_you_hear_me_Nisha.wav |025_Can_you_hear_me_Nisha.wav |025_Can_you_hear_me_Nisha.wav |025_Can_you_hear_me_Nisha.wav |025_Can_you_hear_me_Nisha.wav |025_Can_you_hear_me_Nisha.wav |1
Where are you, Nisha?|026_Where_are_you_Nisha.wav |026_Where_are_you_Nisha.wav |026_Where_are_you_Nisha.wav |026_Where_are_you_Nisha.wav |026_Where_are_you_Nisha.wav |026_Where_are_you_Nisha.wav |026_Where_are_you_Nisha.wav |026_Where_are_you_Nisha.wav |1
Nisha, have you finished it yet?|027_Nisha_have_you_finished_it_yet.wav |027_Nisha_have_you_finished_it_yet.wav |027_Nisha_have_you_finished_it_yet.wav |027_Nisha_have_you_finished_it_yet.wav |027_Nisha_have_you_finished_it_yet.wav |027_Nisha_have_you_finished_it_yet.wav |027_Nisha_have_you_finished_it_yet.wav |027_Nisha_have_you_finished_it_yet.wav |1
Is everything fine, Nisha?|028_Is_everything_fine_Nisha.wav |028_Is_everything_fine_Nisha.wav |028_Is_everything_fine_Nisha.wav |028_Is_everything_fine_Nisha.wav |028_Is_everything_fine_Nisha.wav |028_Is_everything_fine_Nisha.wav |028_Is_everything_fine_Nisha.wav |028_Is_everything_fine_Nisha.wav |1
Nisha, could you help me?|029_Nisha_could_you_help_me.wav |029_Nisha_could_you_help_me.wav |029_Nisha_could_you_help_me.wav |029_Nisha_could_you_help_me.wav |029_Nisha_could_you_help_me.wav |029_Nisha_could_you_help_me.wav |029_Nisha_could_you_help_me.wav |029_Nisha_could_you_help_me.wav |1
Why are you laughing, Nisha?|030_Why_are_you_laughing_Nisha.wav |030_Why_are_you_laughing_Nisha.wav |030_Why_are_you_laughing_Nisha.wav |030_Why_are_you_laughing_Nisha.wav |030_Why_are_you_laughing_Nisha.wav |030_Why_are_you_laughing_Nisha.wav |030_Why_are_you_laughing_Nisha.wav |030_Why_are_you_laughing_Nisha.wav |1
Nisha, play my favorite song.|031_Nisha_play_my_favorite_song.wav |031_Nisha_play_my_favorite_song.wav |031_Nisha_play_my_favorite_song.wav |031_Nisha_play_my_favorite_song.wav |031_Nisha_play_my_favorite_song.wav |031_Nisha_play_my_favorite_song.wav |031_Nisha_play_my_favorite_song.wav |031_Nisha_play_my_favorite_song.wav |1
Please open the window, Nisha.|032_Please_open_the_window_Nisha.wav |032_Please_open_the_window_Nisha.wav |032_Please_open_the_window_Nisha.wav |032_Please_open_the_window_Nisha.wav |032_Please_open_the_window_Nisha.wav |032_Please_open_the_window_Nisha.wav |032_Please_open_the_window_Nisha.wav |032_Please_open_the_window_Nisha.wav |1
Nisha, remind me about the meeting tomorrow.|033_Nisha_remind_me_about_the_meeting_tomorrow.wav |033_Nisha_remind_me_about_the_meeting_tomorrow.wav |033_Nisha_remind_me_about_the_meeting_tomorrow.wav |033_Nisha_remind_me_about_the_meeting_tomorrow.wav |033_Nisha_remind_me_about_the_meeting_tomorrow.wav |033_Nisha_remind_me_about_the_meeting_tomorrow.wav |033_Nisha_remind_me_about_the_meeting_tomorrow.wav |033_Nisha_remind_me_about_the_meeting_tomorrow.wav |1
Call mom for me, Nisha.|034_Call_mom_for_me_Nisha.wav |034_Call_mom_for_me_Nisha.wav |034_Call_mom_for_me_Nisha.wav |034_Call_mom_for_me_Nisha.wav |034_Call_mom_for_me_Nisha.wav |034_Call_mom_for_me_Nisha.wav |034_Call_mom_for_me_Nisha.wav |034_Call_mom_for_me_Nisha.wav |1
Nisha, switch off the lights.|035_Nisha_switch_off_the_lights.wav |035_Nisha_switch_off_the_lights.wav |035_Nisha_switch_off_the_lights.wav |035_Nisha_switch_off_the_lights.wav |035_Nisha_switch_off_the_lights.wav |035_Nisha_switch_off_the_lights.wav |035_Nisha_switch_off_the_lights.wav |035_Nisha_switch_off_the_lights.wav |1
Send that message, Nisha.|036_Send_that_message_Nisha.wav |036_Send_that_message_Nisha.wav |036_Send_that_message_Nisha.wav |036_Send_that_message_Nisha.wav |036_Send_that_message_Nisha.wav |036_Send_that_message_Nisha.wav |036_Send_that_message_Nisha.wav |036_Send_that_message_Nisha.wav |1
Nisha, search the internet for this.|037_Nisha_search_the_internet_for_this.wav |037_Nisha_search_the_internet_for_this.wav |037_Nisha_search_the_internet_for_this.wav |037_Nisha_search_the_internet_for_this.wav |037_Nisha_search_the_internet_for_this.wav |037_Nisha_search_the_internet_for_this.wav |037_Nisha_search_the_internet_for_this.wav |037_Nisha_search_the_internet_for_this.wav |1
Book a cab, Nisha.|038_Book_a_cab_Nisha.wav |038_Book_a_cab_Nisha.wav |038_Book_a_cab_Nisha.wav |038_Book_a_cab_Nisha.wav |038_Book_a_cab_Nisha.wav |038_Book_a_cab_Nisha.wav |038_Book_a_cab_Nisha.wav |038_Book_a_cab_Nisha.wav |1
Nisha, take a note for me.|039_Nisha_take_a_note_for_me.wav |039_Nisha_take_a_note_for_me.wav |039_Nisha_take_a_note_for_me.wav |039_Nisha_take_a_note_for_me.wav |039_Nisha_take_a_note_for_me.wav |039_Nisha_take_a_note_for_me.wav |039_Nisha_take_a_note_for_me.wav |039_Nisha_take_a_note_for_me.wav |1
Set an alarm, Nisha.|040_Set_an_alarm_Nisha.wav |040_Set_an_alarm_Nisha.wav |040_Set_an_alarm_Nisha.wav |040_Set_an_alarm_Nisha.wav |040_Set_an_alarm_Nisha.wav |040_Set_an_alarm_Nisha.wav |040_Set_an_alarm_Nisha.wav |040_Set_an_alarm_Nisha.wav |1
I think Nisha is really good at this.|041_I_think_Nisha_is_really_good_at_this.wav |041_I_think_Nisha_is_really_good_at_this.wav |041_I_think_Nisha_is_really_good_at_this.wav |041_I_think_Nisha_is_really_good_at_this.wav |041_I_think_Nisha_is_really_good_at_this.wav |041_I_think_Nisha_is_really_good_at_this.wav |041_I_think_Nisha_is_really_good_at_this.wav |041_I_think_Nisha_is_really_good_at_this.wav |1
Yesterday, I met Nisha at the park.|042_Yesterday_I_met_Nisha_at_the_park.wav |042_Yesterday_I_met_Nisha_at_the_park.wav |042_Yesterday_I_met_Nisha_at_the_park.wav |042_Yesterday_I_met_Nisha_at_the_park.wav |042_Yesterday_I_met_Nisha_at_the_park.wav |042_Yesterday_I_met_Nisha_at_the_park.wav |042_Yesterday_I_met_Nisha_at_the_park.wav |042_Yesterday_I_met_Nisha_at_the_park.wav |1
Nisha was the one who told me about it.|043_Nisha_was_the_one_who_told_me_about_it.wav |043_Nisha_was_the_one_who_told_me_about_it.wav |043_Nisha_was_the_one_who_told_me_about_it.wav |043_Nisha_was_the_one_who_told_me_about_it.wav |043_Nisha_was_the_one_who_told_me_about_it.wav |043_Nisha_was_the_one_who_told_me_about_it.wav |043_Nisha_was_the_one_who_told_me_about_it.wav |043_Nisha_was_the_one_who_told_me_about_it.wav |1
Everyone likes Nisha in the office.|044_Everyone_likes_Nisha_in_the_office.wav |044_Everyone_likes_Nisha_in_the_office.wav |044_Everyone_likes_Nisha_in_the_office.wav |044_Everyone_likes_Nisha_in_the_office.wav |044_Everyone_likes_Nisha_in_the_office.wav |044_Everyone_likes_Nisha_in_the_office.wav |044_Everyone_likes_Nisha_in_the_office.wav |044_Everyone_likes_Nisha_in_the_office.wav |1
I believe Nisha can handle it.|045_I_believe_Nisha_can_handle_it.wav |045_I_believe_Nisha_can_handle_it.wav |045_I_believe_Nisha_can_handle_it.wav |045_I_believe_Nisha_can_handle_it.wav |045_I_believe_Nisha_can_handle_it.wav |045_I_believe_Nisha_can_handle_it.wav |045_I_believe_Nisha_can_handle_it.wav |045_I_believe_Nisha_can_handle_it.wav |1
The teacher asked Nisha to answer.|046_The_teacher_asked_Nisha_to_answer.wav |046_The_teacher_asked_Nisha_to_answer.wav |046_The_teacher_asked_Nisha_to_answer.wav |046_The_teacher_asked_Nisha_to_answer.wav |046_The_teacher_asked_Nisha_to_answer.wav |046_The_teacher_asked_Nisha_to_answer.wav |046_The_teacher_asked_Nisha_to_answer.wav |046_The_teacher_asked_Nisha_to_answer.wav |1
We should thank Nisha for the help.|047_We_should_thank_Nisha_for_the_help.wav |047_We_should_thank_Nisha_for_the_help.wav |047_We_should_thank_Nisha_for_the_help.wav |047_We_should_thank_Nisha_for_the_help.wav |047_We_should_thank_Nisha_for_the_help.wav |047_We_should_thank_Nisha_for_the_help.wav |047_We_should_thank_Nisha_for_the_help.wav |047_We_should_thank_Nisha_for_the_help.wav |1
Nisha is always on time.|048_Nisha_is_always_on_time.wav |048_Nisha_is_always_on_time.wav |048_Nisha_is_always_on_time.wav |048_Nisha_is_always_on_time.wav |048_Nisha_is_always_on_time.wav |048_Nisha_is_always_on_time.wav |048_Nisha_is_always_on_time.wav |048_Nisha_is_always_on_time.wav |1
They said Nisha did a great job.|049_They_said_Nisha_did_a_great_job.wav |049_They_said_Nisha_did_a_great_job.wav |049_They_said_Nisha_did_a_great_job.wav |049_They_said_Nisha_did_a_great_job.wav |049_They_said_Nisha_did_a_great_job.wav |049_They_said_Nisha_did_a_great_job.wav |049_They_said_Nisha_did_a_great_job.wav |049_They_said_Nisha_did_a_great_job.wav |1
I know Nisha very well.|050_I_know_Nisha_very_well.wav |050_I_know_Nisha_very_well.wav |050_I_know_Nisha_very_well.wav |050_I_know_Nisha_very_well.wav |050_I_know_Nisha_very_well.wav |050_I_know_Nisha_very_well.wav |050_I_know_Nisha_very_well.wav |050_I_know_Nisha_very_well.wav |1
Oh my God, Nisha!|051_Oh_my_God_Nisha.wav |051_Oh_my_God_Nisha.wav |051_Oh_my_God_Nisha.wav |051_Oh_my_God_Nisha.wav |051_Oh_my_God_Nisha.wav |051_Oh_my_God_Nisha.wav |051_Oh_my_God_Nisha.wav |051_Oh_my_God_Nisha.wav |1
I can’t believe it, Nisha!|052_I_cant_believe_it_Nisha.wav |052_I_cant_believe_it_Nisha.wav |052_I_cant_believe_it_Nisha.wav |052_I_cant_believe_it_Nisha.wav |052_I_cant_believe_it_Nisha.wav |052_I_cant_believe_it_Nisha.wav |052_I_cant_believe_it_Nisha.wav |052_I_cant_believe_it_Nisha.wav |1
Nisha, I’m so proud of you.|053_Nisha_Im_so_proud_of_you.wav |053_Nisha_Im_so_proud_of_you.wav |053_Nisha_Im_so_proud_of_you.wav |053_Nisha_Im_so_proud_of_you.wav |053_Nisha_Im_so_proud_of_you.wav |053_Nisha_Im_so_proud_of_you.wav |053_Nisha_Im_so_proud_of_you.wav |053_Nisha_Im_so_proud_of_you.wav |1
Don’t do that, Nisha!|054_Dont_do_that_Nisha.wav |054_Dont_do_that_Nisha.wav |054_Dont_do_that_Nisha.wav |054_Dont_do_that_Nisha.wav |054_Dont_do_that_Nisha.wav |054_Dont_do_that_Nisha.wav |054_Dont_do_that_Nisha.wav |054_Dont_do_that_Nisha.wav |1
Hurry up, Nisha!|055_Hurry_up_Nisha.wav |055_Hurry_up_Nisha.wav |055_Hurry_up_Nisha.wav |055_Hurry_up_Nisha.wav |055_Hurry_up_Nisha.wav |055_Hurry_up_Nisha.wav |055_Hurry_up_Nisha.wav |055_Hurry_up_Nisha.wav |1
I’m really angry with you, Nisha.|056_Im_really_angry_with_you_Nisha.wav |056_Im_really_angry_with_you_Nisha.wav |056_Im_really_angry_with_you_Nisha.wav |056_Im_really_angry_with_you_Nisha.wav |056_Im_really_angry_with_you_Nisha.wav |056_Im_really_angry_with_you_Nisha.wav |056_Im_really_angry_with_you_Nisha.wav |056_Im_really_angry_with_you_Nisha.wav |1
Wow, that’s amazing, Nisha!|057_Wow_thats_amazing_Nisha.wav |057_Wow_thats_amazing_Nisha.wav |057_Wow_thats_amazing_Nisha.wav |057_Wow_thats_amazing_Nisha.wav |057_Wow_thats_amazing_Nisha.wav |057_Wow_thats_amazing_Nisha.wav |057_Wow_thats_amazing_Nisha.wav |057_Wow_thats_amazing_Nisha.wav |1
Calm down, Nisha.|058_Calm_down_Nisha.wav |058_Calm_down_Nisha.wav |058_Calm_down_Nisha.wav |058_Calm_down_Nisha.wav |058_Calm_down_Nisha.wav |058_Calm_down_Nisha.wav |058_Calm_down_Nisha.wav |058_Calm_down_Nisha.wav |1
I love you, Nisha.|059_I_love_you_Nisha.wav |059_I_love_you_Nisha.wav |059_I_love_you_Nisha.wav |059_I_love_you_Nisha.wav |059_I_love_you_Nisha.wav |059_I_love_you_Nisha.wav |059_I_love_you_Nisha.wav |059_I_love_you_Nisha.wav |1
Please don’t cry, Nisha.|060_Please_dont_cry_Nisha.wav |060_Please_dont_cry_Nisha.wav |060_Please_dont_cry_Nisha.wav |060_Please_dont_cry_Nisha.wav |060_Please_dont_cry_Nisha.wav |060_Please_dont_cry_Nisha.wav |060_Please_dont_cry_Nisha.wav |060_Please_dont_cry_Nisha.wav |1
Hey Nisha, can you help me with this?|061_Hey_Nisha_can_you_help_me_with_this.wav |061_Hey_Nisha_can_you_help_me_with_this.wav |061_Hey_Nisha_can_you_help_me_with_this.wav |061_Hey_Nisha_can_you_help_me_with_this.wav |061_Hey_Nisha_can_you_help_me_with_this.wav |061_Hey_Nisha_can_you_help_me_with_this.wav |061_Hey_Nisha_can_you_help_me_with_this.wav |061_Hey_Nisha_can_you_help_me_with_this.wav |1
I need your advice, Nisha.|062_I_need_your_advice_Nisha.wav |062_I_need_your_advice_Nisha.wav |062_I_need_your_advice_Nisha.wav |062_I_need_your_advice_Nisha.wav |062_I_need_your_advice_Nisha.wav |062_I_need_your_advice_Nisha.wav |062_I_need_your_advice_Nisha.wav |062_I_need_your_advice_Nisha.wav |1
Let’s go out, Nisha.|063_Lets_go_out_Nisha.wav |063_Lets_go_out_Nisha.wav |063_Lets_go_out_Nisha.wav |063_Lets_go_out_Nisha.wav |063_Lets_go_out_Nisha.wav |063_Lets_go_out_Nisha.wav |063_Lets_go_out_Nisha.wav |063_Lets_go_out_Nisha.wav |1
It’s all up to you, Nisha.|064_Its_all_up_to_you_Nisha.wav |064_Its_all_up_to_you_Nisha.wav |064_Its_all_up_to_you_Nisha.wav |064_Its_all_up_to_you_Nisha.wav |064_Its_all_up_to_you_Nisha.wav |064_Its_all_up_to_you_Nisha.wav |064_Its_all_up_to_you_Nisha.wav |064_Its_all_up_to_you_Nisha.wav |1
I trust you, Nisha.|065_I_trust_you_Nisha.wav |065_I_trust_you_Nisha.wav |065_I_trust_you_Nisha.wav |065_I_trust_you_Nisha.wav |065_I_trust_you_Nisha.wav |065_I_trust_you_Nisha.wav |065_I_trust_you_Nisha.wav |065_I_trust_you_Nisha.wav |1
Thanks for being here, Nisha.|066_Thanks_for_being_here_Nisha.wav |066_Thanks_for_being_here_Nisha.wav |066_Thanks_for_being_here_Nisha.wav |066_Thanks_for_being_here_Nisha.wav |066_Thanks_for_being_here_Nisha.wav |066_Thanks_for_being_here_Nisha.wav |066_Thanks_for_being_here_Nisha.wav |066_Thanks_for_being_here_Nisha.wav |1
Are you listening, Nisha?|067_Are_you_listening_Nisha.wav |067_Are_you_listening_Nisha.wav |067_Are_you_listening_Nisha.wav |067_Are_you_listening_Nisha.wav |067_Are_you_listening_Nisha.wav |067_Are_you_listening_Nisha.wav |067_Are_you_listening_Nisha.wav |067_Are_you_listening_Nisha.wav |1
Take care, Nisha.|068_Take_care_Nisha.wav |068_Take_care_Nisha.wav |068_Take_care_Nisha.wav |068_Take_care_Nisha.wav |068_Take_care_Nisha.wav |068_Take_care_Nisha.wav |068_Take_care_Nisha.wav |068_Take_care_Nisha.wav |1
Don’t forget about it, Nisha.|069_Dont_forget_about_it_Nisha.wav |069_Dont_forget_about_it_Nisha.wav |069_Dont_forget_about_it_Nisha.wav |069_Dont_forget_about_it_Nisha.wav |069_Dont_forget_about_it_Nisha.wav |069_Dont_forget_about_it_Nisha.wav |069_Dont_forget_about_it_Nisha.wav |069_Dont_forget_about_it_Nisha.wav |1
You’re the best, Nisha.|070_Youre_the_best_Nisha.wav |070_Youre_the_best_Nisha.wav |070_Youre_the_best_Nisha.wav |070_Youre_the_best_Nisha.wav |070_Youre_the_best_Nisha.wav |070_Youre_the_best_Nisha.wav |070_Youre_the_best_Nisha.wav |070_Youre_the_best_Nisha.wav |1
Hey Nisha, can you hear me?|071_Hey_Nisha_can_you_hear_me.wav |071_Hey_Nisha_can_you_hear_me.wav |071_Hey_Nisha_can_you_hear_me.wav |071_Hey_Nisha_can_you_hear_me.wav |071_Hey_Nisha_can_you_hear_me.wav |071_Hey_Nisha_can_you_hear_me.wav |071_Hey_Nisha_can_you_hear_me.wav |071_Hey_Nisha_can_you_hear_me.wav |1
Hey Nisha, please respond.|072_Hey_Nisha_please_respond.wav |072_Hey_Nisha_please_respond.wav |072_Hey_Nisha_please_respond.wav |072_Hey_Nisha_please_respond.wav |072_Hey_Nisha_please_respond.wav |072_Hey_Nisha_please_respond.wav |072_Hey_Nisha_please_respond.wav |072_Hey_Nisha_please_respond.wav |1
Hey Nisha, what’s going on?|073_Hey_Nisha_whats_going_on.wav |073_Hey_Nisha_whats_going_on.wav |073_Hey_Nisha_whats_going_on.wav |073_Hey_Nisha_whats_going_on.wav |073_Hey_Nisha_whats_going_on.wav |073_Hey_Nisha_whats_going_on.wav |073_Hey_Nisha_whats_going_on.wav |073_Hey_Nisha_whats_going_on.wav |1
Hey Nisha, help me out.|074_Hey_Nisha_help_me_out.wav |074_Hey_Nisha_help_me_out.wav |074_Hey_Nisha_help_me_out.wav |074_Hey_Nisha_help_me_out.wav |074_Hey_Nisha_help_me_out.wav |074_Hey_Nisha_help_me_out.wav |074_Hey_Nisha_help_me_out.wav |074_Hey_Nisha_help_me_out.wav |1
Hey Nisha, where are you?|075_Hey_Nisha_where_are_you.wav |075_Hey_Nisha_where_are_you.wav |075_Hey_Nisha_where_are_you.wav |075_Hey_Nisha_where_are_you.wav |075_Hey_Nisha_where_are_you.wav |075_Hey_Nisha_where_are_you.wav |075_Hey_Nisha_where_are_you.wav |075_Hey_Nisha_where_are_you.wav |1
Hey Nisha, come here.|076_Hey_Nisha_come_here.wav |076_Hey_Nisha_come_here.wav |076_Hey_Nisha_come_here.wav |076_Hey_Nisha_come_here.wav |076_Hey_Nisha_come_here.wav |076_Hey_Nisha_come_here.wav |076_Hey_Nisha_come_here.wav |076_Hey_Nisha_come_here.wav |1
Hey Nisha, don’t be late.|077_Hey_Nisha_dont_be_late.wav |077_Hey_Nisha_dont_be_late.wav |077_Hey_Nisha_dont_be_late.wav |077_Hey_Nisha_dont_be_late.wav |077_Hey_Nisha_dont_be_late.wav |077_Hey_Nisha_dont_be_late.wav |077_Hey_Nisha_dont_be_late.wav |077_Hey_Nisha_dont_be_late.wav |1
